,ad_price,ad_area,ad_latitude,ad_longitude,censustract_id,ad_postalcode,ad_floornumber,ad_bathnumber,ad_haslift,ad_hasparkingspace,tamaños
4849,27135,1180,41.3909513,2.1583827,801902089.0,8008.0,2,4,1,0,3
4860,42188,1875,41.4027546,2.1995991,801910070.0,8005.0,4,4,1,0,3
4861,18336,1528,41.4064466,2.1512249,801906037.0,8012.0,0,0,0,0,3
4863,126000,6300,41.3583256,2.13857,801903030.0,8038.0,3,6,1,0,3
4866,23940,1260,41.3558256,2.13737,801903030.0,8038.0,6,6,1,0,3
4867,17955,945,41.3559256,2.13977,801903030.0,8038.0,7,6,1,0,3
4943,24000,1201,41.397576,2.1466417,801905066.0,8021.0,1,0,1,0,3
4950,30030,1001,41.3952377,2.1529025,801905067.0,8006.0,7,3,1,0,3
4960,21082,937,41.4047546,2.2011991,801910070.0,8005.0,6,2,1,0,3
4980,64376,2476,41.3990752,2.1988916,801910064.0,8005.0,0,4,1,1,3
4981,21432,893,41.3983912,2.1978855,801910058.0,8005.0,2,0,1,0,3
5016,27880,1700,41.3897331,2.137412,801904021.0,8029.0,0,0,0,0,3
5057,31925,2390,41.3379958,2.1252392,801903025.0,8040.0,2,12,1,0,3
5058,77125,5746,41.3404958,2.1224392,801903025.0,8040.0,0,24,1,0,3
5060,45200,3616,41.3399958,2.1224392,801903025.0,8040.0,1,12,1,0,3
5061,25245,1530,41.4099108,2.1729305,801902042.0,8025.0,8,4,1,0,3
5062,15840,960,41.4082108,2.1720305,801902042.0,8025.0,6,2,1,0,3
5091,46577,1663,41.3875081,2.1292574,801904028.0,8028.0,2,6,1,0,3
5155,23239,1549,41.3938811,2.1538118,801905067.0,8006.0,3,2,0,0,3
5157,22360,860,41.3869312,2.1289544,801904027.0,8028.0,10,2,1,0,3
5166,29340,1128,41.4018469,2.1916927,801910042.0,8018.0,11,2,1,0,3
5176,17516,899,41.4044997,2.2093219,801910076.0,8019.0,3,0,1,0,3
5183,6853,979,41.3956929,2.1822822,801902008.0,8013.0,0,0,0,0,3
5204,12075,966,41.3403469,2.1258428,801903025.0,8040.0,0,0,0,0,3
5205,29875,2390,41.3403469,2.1258428,801903025.0,8040.0,2,0,0,0,3
5207,17955,945,41.3567256,2.13927,801903030.0,8038.0,7,2,1,0,3
5208,23940,1260,41.3567256,2.13927,801903030.0,8038.0,8,2,1,0,3
5211,18336,1528,41.4064466,2.1512249,801906037.0,8012.0,0,0,0,0,3
5213,15750,1050,41.3665092,2.135515,801903064.0,8014.0,54,6,1,0,3
5227,16410,820,41.4122045,2.2077883,801910094.0,8019.0,0,0,0,0,3
5247,16600,830,41.4121465,2.2103411,801910094.0,8019.0,0,0,0,0,3
5251,73871,2462,41.3890974,2.1288747,801904024.0,8034.0,0,0,0,0,3
5256,45210,1507,41.3890976,2.1335192,801904022.0,8029.0,0,0,0,0,3
5257,17644,840,41.4068115,2.2014937,801910069.0,8005.0,0,0,0,0,3
5258,42576,1774,41.3895288,2.1429528,801904018.0,8029.0,0,0,0,0,3
