,ad_price,ad_area,ad_latitude,ad_longitude,censustract_id,ad_postalcode,ad_floornumber,ad_bathnumber,ad_haslift,ad_hasparkingspace,tamaños
132,5000,250,40.4267181,-3.7146499,2807901107.0,28008.0,0,3,1,0,2
133,12404,443,40.4267963,-3.692869,2807901084.0,28004.0,3,0,1,0,2
134,29350,2104,40.5135126,-3.6755458,2807908174.0,28050.0,4,0,1,0,3
135,11877,742,40.4566471,-3.6541944,2807915174.0,28043.0,8,2,1,0,2
136,4078,233,40.464183,-3.6159251,2807921029.0,28042.0,0,4,1,0,2
137,48755,3495,40.5134126,-3.6753458,2807908174.0,28050.0,4,0,1,0,3
138,6515,467,40.5108126,-3.6732458,2807908174.0,28050.0,4,0,1,0,2
139,14982,1074,40.5138126,-3.6733458,2807908174.0,28050.0,5,0,1,0,3
140,900,35,40.413288,-3.7047564,2807901120.0,28012.0,8,1,1,0,1
141,6557,470,40.5127126,-3.6738458,2807908174.0,28050.0,4,0,1,0,2
142,6975,500,40.5133126,-3.6753458,2807908174.0,28050.0,4,0,1,0,2
143,3216,201,40.4490474,-3.7039773,2807906023.0,28046.0,5,2,1,0,2
144,9305,667,40.5113126,-3.6760458,2807908174.0,28050.0,4,0,1,0,2
145,5500,357,40.4472018,-3.7060748,2807906023.0,28020.0,10,2,1,0,2
146,1180,85,40.4613865,-3.693817,2807906065.0,28020.0,1,1,1,0,1
147,8105,581,40.5111126,-3.6726458,2807908174.0,28050.0,4,0,1,0,2
149,2900,189,40.424489,-3.6834052,2807904010.0,28001.0,0,2,1,0,1
150,19404,1391,40.5119126,-3.6749458,2807908174.0,28050.0,4,0,1,0,3
151,7264,484,40.4997223,-3.6605081,2807916125.0,28050.0,0,2,1,0,2
152,11300,810,40.5138126,-3.6748458,2807908174.0,28050.0,4,0,1,0,3
154,1650,117,40.4157905,-3.6768263,2807903054.0,28009.0,0,2,1,0,1
155,1250,110,40.4721738,-3.82032,2807909072.0,28023.0,1,2,0,0,1
157,10050,335,40.4505655,-3.6917622,2807906029.0,28046.0,10,2,1,0,2
159,9760,488,40.4489568,-3.7148732,2807909037.0,28040.0,3,2,1,0,2
160,28768,928,40.4354958,-3.6900954,2807904118.0,28006.0,3,0,1,0,3
161,3000,262,40.4284946,-3.6649263,2807904058.0,28028.0,1,2,1,0,2
162,2655,295,40.4869466,-3.6694151,2807916106.0,28050.0,6,2,1,0,2
163,20808,578,40.438259,-3.688452,2807904130.0,28046.0,4,0,1,0,2
164,3500,300,40.4237468,-3.6802296,2807904014.0,28009.0,2,2,1,0,2
166,13800,920,40.4456385,-3.6559561,2807915148.0,28043.0,3,0,1,0,3
167,1100,81,40.4632752,-3.6885562,2807906071.0,28046.0,18,2,1,0,1
168,30450,1050,40.431532,-3.6691832,2807904105.0,28006.0,6,0,1,0,3
170,21516,1871,40.4345636,-3.6221457,2807920119.0,28037.0,3,0,0,0,3
171,11504,719,40.4490734,-3.6301687,2807920099.0,28027.0,6,0,1,0,2
172,12617,407,40.435558,-3.6903847,2807907093.0,28010.0,3,0,0,0,2
174,10800,600,40.4529626,-3.6936245,2807906029.0,28020.0,1,0,1,0,2
175,27600,1840,40.4467385,-3.6570561,2807915148.0,28043.0,3,0,1,0,3
176,8000,280,40.412705,-3.696776,2807901066.0,28014.0,0,0,0,0,2
178,1000,90,40.4688883,-3.6913876,2807906075.0,28029.0,1,1,1,0,1
184,5328,333,40.4647675,-3.6920696,2807906072.0,28020.0,3,0,1,0,2
185,550,60,40.4420891,-3.696794,2807907110.0,28003.0,-1,1,1,0,1
186,450,35,40.4374115,-3.6695072,2807904085.0,28028.0,3,1,1,0,1
187,1400,67,40.4293446,-3.6786918,2807904114.0,28006.0,1,1,0,0,1
188,6894,373,40.4737382,-3.674758,2807905101.0,28036.0,14,2,1,0,2
190,1000,250,40.412705,-3.696776,2807901066.0,28014.0,0,0,0,0,2
193,1200,81,40.4554955,-3.6931649,2807906048.0,28020.0,6,1,1,0,1
195,16619,616,40.4283956,-3.6877926,2807904006.0,28001.0,1,0,1,0,2
196,1525,121,40.4335613,-3.6552304,2807915036.0,28027.0,1,2,1,0,1
197,6905,521,40.4994183,-3.6669517,2807908171.0,28050.0,4,2,1,0,2
198,10875,725,40.4462385,-3.6590561,2807915148.0,28043.0,2,0,1,0,2
199,4423,442,40.4494838,-3.5800825,2807921015.0,28042.0,1,2,1,0,2
200,8400,560,40.4472385,-3.6562561,2807915148.0,28043.0,1,0,1,0,2
202,2092,209,40.4517838,-3.5795825,2807921015.0,28042.0,3,2,1,0,2
203,2900,200,40.4560266,-3.6905204,2807906063.0,28046.0,0,2,1,0,2
204,6344,604,40.4367541,-3.6291262,2807920119.0,28037.0,2,2,1,0,2
210,2992,136,40.4200622,-3.6943728,2807901073.0,28004.0,0,2,1,0,1
211,9650,386,40.4237622,-3.6934728,2807901073.0,28004.0,5,2,1,0,2
213,10907,340,40.4666939,-3.6880765,2807905087.0,28046.0,0,4,1,0,2
215,18189,568,40.4666939,-3.6880765,2807905087.0,28046.0,5,4,1,0,2
217,3010,215,40.4362627,-3.6287256,2807920001.0,28037.0,4,2,1,0,2
218,714,42,40.4311935,-3.7066238,2807907043.0,28015.0,3,0,1,0,1
221,7784,556,40.4343107,-3.6341277,2807920001.0,28037.0,2,2,1,0,2
222,1884,157,40.4347728,-3.6328819,2807920001.0,28037.0,3,1,1,0,1
223,29187,2162,40.4351035,-3.6326403,2807920100.0,28037.0,3,0,1,0,3
224,19050,635,40.4752085,-3.689318,2807908098.0,28046.0,23,4,1,0,2
225,26544,1107,40.4537241,-3.6950395,2807906046.0,28020.0,10,2,1,0,3
226,10875,725,40.4475385,-3.6562561,2807915148.0,28043.0,2,2,1,0,2
227,15240,762,40.4530221,-3.6944323,2807906029.0,28020.0,2,2,1,0,2
228,10083,602,40.416725,-3.6633525,2807903045.0,28007.0,9,2,1,0,2
229,10360,370,40.4606677,-3.6894837,2807906064.0,28046.0,21,2,1,0,2
230,975,108,40.4388358,-3.6228724,2807920125.0,28037.0,2,1,1,1,1
231,18984,678,40.4600677,-3.6894837,2807906064.0,28046.0,15,2,1,0,2
232,750,120,40.3370668,-3.7074829,2807917106.0,28021.0,1,2,0,1,1
233,10728,596,40.4496626,-3.6960245,2807906029.0,28020.0,1,0,1,0,2
234,13281,466,40.4618631,-3.6921026,2807906065.0,28046.0,4,4,1,0,2
235,2900,250,40.4732595,-3.6867376,2807905090.0,28046.0,0,2,1,0,2
236,10870,572,40.4540116,-3.6649044,2807905053.0,28016.0,2,4,1,0,2
237,17622,1068,40.4668793,-3.670946,2807905085.0,28016.0,6,2,1,0,3
238,20689,1061,40.4879509,-3.6713834,2807916106.0,28050.0,17,2,1,0,3
239,1025,55,40.4612531,-3.695322,2807906070.0,28020.0,0,1,1,0,1
245,1599,250,40.4404206,-3.6230278,2807920125.0,28037.0,5,1,1,0,2
246,27565,1490,40.4745382,-3.676958,2807905101.0,28036.0,13,2,1,0,3
248,1000,70,40.4291471,-3.7144464,2807909017.0,28008.0,1,1,1,0,1
250,1450,90,40.4276066,-3.6773483,2807904020.0,28006.0,1,2,1,0,1
255,3000,190,40.4570185,-3.6937439,2807906062.0,28020.0,12,0,1,0,1
263,1300,93,40.4295929,-3.6898844,2807907081.0,28010.0,7,1,1,0,1
267,850,85,40.3978734,-3.6672238,2807913042.0,28038.0,3,2,1,0,1
272,51740,1990,40.4687282,-3.6891115,2807905087.0,28036.0,9,0,1,0,3
274,27666,954,40.4613631,-3.6900026,2807906065.0,28046.0,9,0,1,0,3
275,13281,466,40.4635631,-3.6932026,2807906065.0,28046.0,4,0,1,0,2
276,9200,460,40.4609269,-3.6916646,2807906065.0,28020.0,3,2,1,0,2
278,1700,140,40.464363,-3.6639879,2807915159.0,28033.0,0,1,1,1,1
279,2900,189,40.4224676,-3.6785862,2807904017.0,28009.0,9,0,1,0,1
280,4600,230,40.4634269,-3.6942646,2807906065.0,28020.0,3,2,1,0,2
282,23520,980,40.4064786,-3.6878277,2807903071.0,28014.0,0,0,1,0,3
283,4000,200,40.4613269,-3.6931646,2807906065.0,28020.0,1,2,1,0,2
284,18806,1504,40.5096915,-3.6774335,2807908174.0,28050.0,2,2,1,0,3
285,18338,815,40.4410646,-3.6778475,2807905014.0,28002.0,3,0,1,0,3
287,19480,1146,40.4629696,-3.620364,2807921029.0,28042.0,5,2,1,0,3
288,10699,669,40.4993607,-3.6672385,2807908171.0,28050.0,1,2,1,0,2
289,1500,93,40.4314252,-3.6750298,2807904108.0,28006.0,1,0,1,0,1
290,8595,573,40.4977691,-3.7074526,2807908175.0,28034.0,0,3,1,1,2
291,10823,676,40.4770208,-3.7183673,2807908024.0,28035.0,2,2,1,0,2
293,13080,436,40.439108,-3.676589,2807905014.0,28002.0,8,4,1,0,2
294,13519,588,40.4546246,-3.6930006,2807906046.0,28020.0,1,2,1,0,2
295,6000,434,40.4600548,-3.6895921,2807905070.0,28046.0,7,2,1,1,2
300,17072,776,40.425791,-3.711142,2807901111.0,28015.0,4,0,1,0,2
301,8540,610,40.4367107,-3.6336277,2807920001.0,28037.0,2,0,0,0,2
302,9072,756,40.4406141,-3.6272756,2807920119.0,28037.0,3,0,1,0,2
303,7784,556,40.4342107,-3.6315277,2807920001.0,28037.0,2,0,0,0,2
304,10728,596,40.4504626,-3.6937245,2807906029.0,28020.0,1,0,1,0,2
307,6000,350,40.4363077,-3.6935185,2807907092.0,28003.0,6,3,1,0,2
308,800,78,40.4451986,-3.6971723,2807907111.0,28003.0,1,1,0,0,1
309,44496,2472,40.4780138,-3.6705066,2807915161.0,28033.0,9,0,1,0,3
310,22230,1235,40.4780138,-3.6706066,2807915161.0,28033.0,10,0,1,0,3
311,24584,1756,40.4497446,-3.6457313,2807920108.0,28027.0,2,0,1,0,3
312,12292,878,40.4507446,-3.6434313,2807920108.0,28027.0,2,0,1,0,3
313,16794,933,40.4753138,-3.6708066,2807915161.0,28033.0,6,0,1,0,3
314,11109,1058,40.4736885,-3.8263738,2807909072.0,28023.0,1,3,1,0,3
315,12155,442,40.4486464,-3.6941197,2807906029.0,28020.0,19,0,1,0,2
316,26240,771,40.4371336,-3.6909559,2807905002.0,28006.0,6,3,1,0,2
319,2500,150,40.4218207,-3.7088665,2807901003.0,28013.0,9,1,1,0,1
320,17012,680,40.4678282,-3.6886115,2807905087.0,28036.0,5,0,0,0,2
321,4950,250,40.4364707,-3.6794116,2807904123.0,28006.0,8,2,1,0,2
322,19354,667,40.4386851,-3.6799267,2807905014.0,28002.0,8,0,1,0,2
323,42413,1570,40.4398851,-3.6804267,2807905014.0,28002.0,1,0,0,0,3
324,61920,1376,40.431115,-3.6881013,2807907081.0,28010.0,2,0,0,0,3
325,28247,1176,40.4678282,-3.6871115,2807905087.0,28036.0,0,0,0,0,3
326,28548,1141,40.4654282,-3.6879115,2807905087.0,28036.0,4,0,0,0,3
327,14014,637,40.4383106,-3.692562,2807907094.0,28003.0,5,0,1,0,2
328,2750,250,40.4435488,-3.5869217,2807920121.0,28022.0,1,2,1,1,2
329,220,200,40.412705,-3.696776,2807901066.0,28014.0,7,0,1,0,2
330,950,80,40.4406302,-3.6742524,2807905032.0,28002.0,0,1,0,0,1
333,6428,559,40.4376286,-3.6206325,2807920125.0,28037.0,3,2,1,0,2
334,1100,70,40.4646999,-3.6898123,2807906072.0,28029.0,19,2,1,0,1
336,15681,950,40.4955917,-3.6650824,2807916125.0,28050.0,5,2,1,0,3
337,6600,440,40.432456,-3.6573971,2807915115.0,28027.0,2,4,1,0,2
339,20000,1000,40.45224,-3.694767,2807906046.0,28020.0,14,0,1,0,3
341,3500,205,40.4265796,-3.6975294,2807901087.0,28004.0,2,2,1,0,2
342,2300,120,40.4590432,-3.6910672,2807906063.0,28046.0,1,2,1,0,1
343,5626,341,40.4955917,-3.6650824,2807916125.0,28050.0,4,4,1,0,2
344,2500,290,40.3846244,-3.629624,2807913128.0,28031.0,4,4,1,1,2
348,5530,395,40.4469911,-3.6560781,2807915147.0,28027.0,5,0,0,0,2
349,5670,405,40.4473911,-3.6559781,2807915147.0,28027.0,4,0,0,0,2
350,5516,394,40.4437911,-3.6586781,2807915147.0,28027.0,0,0,0,0,2
351,9996,714,40.4464911,-3.6558781,2807915147.0,28027.0,6,0,1,0,2
352,6137,361,40.4603687,-3.6146793,2807921029.0,28042.0,0,2,1,0,2
353,2620,300,40.4587677,-3.6922837,2807906064.0,28046.0,10,0,1,0,2
357,4600,375,40.4474771,-3.702744,2807907117.0,28003.0,1,3,1,0,2
370,990,93,40.4425744,-3.7037128,2807907105.0,28003.0,1,1,1,0,1
371,975,60,40.4629264,-3.6818255,2807905077.0,28016.0,0,1,1,0,1
372,11200,448,40.4541395,-3.6943673,2807906046.0,28020.0,1,0,1,0,2
373,1475,107,40.4601426,-3.6872477,2807905070.0,28046.0,3,1,0,0,1
374,800,73,40.4078912,-3.67271,2807903018.0,28007.0,1,1,1,0,1
375,1100,67,40.4608426,-3.6879477,2807905070.0,28046.0,3,2,1,0,1
378,1290,200,40.468078,-3.6898135,2807906076.0,28029.0,0,2,1,0,2
379,12945,535,40.4316309,-3.6923171,2807907081.0,28010.0,1,2,1,0,2
381,2100,85,40.427796,-3.6926981,2807907076.0,28010.0,0,2,0,0,1
389,7752,456,40.4610418,-3.695281,2807906064.0,28020.0,2,0,1,0,2
391,5474,238,40.4465755,-3.699245,2807907115.0,28003.0,1,0,1,0,2
392,13478,586,40.4459755,-3.701245,2807907115.0,28003.0,1,0,1,0,2
395,6137,341,40.4672223,-3.6924527,2807906074.0,28029.0,4,2,1,0,2
396,4800,242,40.4483192,-3.6957607,2807906028.0,28020.0,2,2,1,0,2
398,2300,108,40.4317384,-3.6517515,2807915109.0,28027.0,0,1,0,0,1
399,10224,426,40.4299042,-3.7013964,2807907057.0,28010.0,4,2,1,0,2
400,61920,1376,40.4343347,-3.6876051,2807907082.0,28046.0,2,2,1,0,3
