,ad_price,ad_area,ad_latitude,ad_longitude,censustract_id,ad_postalcode,ad_floornumber,ad_bathnumber,ad_haslift,ad_hasparkingspace,tamaños
215,18189,568,40.4666939,-3.6880765,2807905087.0,28046.0,5,4,1,0,2
217,3010,215,40.4362627,-3.6287256,2807920001.0,28037.0,4,2,1,0,2
221,7784,556,40.4343107,-3.6341277,2807920001.0,28037.0,2,2,1,0,2
224,19050,635,40.4752085,-3.689318,2807908098.0,28046.0,23,4,1,0,2
226,10875,725,40.4475385,-3.6562561,2807915148.0,28043.0,2,2,1,0,2
227,15240,762,40.4530221,-3.6944323,2807906029.0,28020.0,2,2,1,0,2
228,10083,602,40.416725,-3.6633525,2807903045.0,28007.0,9,2,1,0,2
229,10360,370,40.4606677,-3.6894837,2807906064.0,28046.0,21,2,1,0,2
231,18984,678,40.4600677,-3.6894837,2807906064.0,28046.0,15,2,1,0,2
233,10728,596,40.4496626,-3.6960245,2807906029.0,28020.0,1,0,1,0,2
234,13281,466,40.4618631,-3.6921026,2807906065.0,28046.0,4,4,1,0,2
235,2900,250,40.4732595,-3.6867376,2807905090.0,28046.0,0,2,1,0,2
236,10870,572,40.4540116,-3.6649044,2807905053.0,28016.0,2,4,1,0,2
245,1599,250,40.4404206,-3.6230278,2807920125.0,28037.0,5,1,1,0,2
275,13281,466,40.4635631,-3.6932026,2807906065.0,28046.0,4,0,1,0,2
276,9200,460,40.4609269,-3.6916646,2807906065.0,28020.0,3,2,1,0,2
280,4600,230,40.4634269,-3.6942646,2807906065.0,28020.0,3,2,1,0,2
283,4000,200,40.4613269,-3.6931646,2807906065.0,28020.0,1,2,1,0,2
288,10699,669,40.4993607,-3.6672385,2807908171.0,28050.0,1,2,1,0,2
290,8595,573,40.4977691,-3.7074526,2807908175.0,28034.0,0,3,1,1,2
291,10823,676,40.4770208,-3.7183673,2807908024.0,28035.0,2,2,1,0,2
293,13080,436,40.439108,-3.676589,2807905014.0,28002.0,8,4,1,0,2
294,13519,588,40.4546246,-3.6930006,2807906046.0,28020.0,1,2,1,0,2
295,6000,434,40.4600548,-3.6895921,2807905070.0,28046.0,7,2,1,1,2
300,17072,776,40.425791,-3.711142,2807901111.0,28015.0,4,0,1,0,2
301,8540,610,40.4367107,-3.6336277,2807920001.0,28037.0,2,0,0,0,2
302,9072,756,40.4406141,-3.6272756,2807920119.0,28037.0,3,0,1,0,2
303,7784,556,40.4342107,-3.6315277,2807920001.0,28037.0,2,0,0,0,2
304,10728,596,40.4504626,-3.6937245,2807906029.0,28020.0,1,0,1,0,2
307,6000,350,40.4363077,-3.6935185,2807907092.0,28003.0,6,3,1,0,2
315,12155,442,40.4486464,-3.6941197,2807906029.0,28020.0,19,0,1,0,2
316,26240,771,40.4371336,-3.6909559,2807905002.0,28006.0,6,3,1,0,2
320,17012,680,40.4678282,-3.6886115,2807905087.0,28036.0,5,0,0,0,2
321,4950,250,40.4364707,-3.6794116,2807904123.0,28006.0,8,2,1,0,2
322,19354,667,40.4386851,-3.6799267,2807905014.0,28002.0,8,0,1,0,2
327,14014,637,40.4383106,-3.692562,2807907094.0,28003.0,5,0,1,0,2
328,2750,250,40.4435488,-3.5869217,2807920121.0,28022.0,1,2,1,1,2
329,220,200,40.412705,-3.696776,2807901066.0,28014.0,7,0,1,0,2
333,6428,559,40.4376286,-3.6206325,2807920125.0,28037.0,3,2,1,0,2
337,6600,440,40.432456,-3.6573971,2807915115.0,28027.0,2,4,1,0,2
341,3500,205,40.4265796,-3.6975294,2807901087.0,28004.0,2,2,1,0,2
343,5626,341,40.4955917,-3.6650824,2807916125.0,28050.0,4,4,1,0,2
344,2500,290,40.3846244,-3.629624,2807913128.0,28031.0,4,4,1,1,2
348,5530,395,40.4469911,-3.6560781,2807915147.0,28027.0,5,0,0,0,2
349,5670,405,40.4473911,-3.6559781,2807915147.0,28027.0,4,0,0,0,2
350,5516,394,40.4437911,-3.6586781,2807915147.0,28027.0,0,0,0,0,2
351,9996,714,40.4464911,-3.6558781,2807915147.0,28027.0,6,0,1,0,2
352,6137,361,40.4603687,-3.6146793,2807921029.0,28042.0,0,2,1,0,2
353,2620,300,40.4587677,-3.6922837,2807906064.0,28046.0,10,0,1,0,2
