,ad_price,ad_area,ad_latitude,ad_longitude,censustract_id,ad_postalcode,ad_floornumber,ad_bathnumber,ad_haslift,ad_hasparkingspace,tamaños
14,20690,1061,40.4859017,-3.6698909,2807916106.0,28050.0,6,0,1,0,3
16,18960,1600,40.5126561,-3.6732086,2807908174.0,28050.0,4,2,1,0,3
47,23346,1297,40.4614028,-3.6165977,2807921029.0,28042.0,4,0,1,0,3
48,50141,2639,40.4622028,-3.6143977,2807921029.0,28042.0,5,0,1,0,3
51,46376,2108,40.3910388,-3.6793833,2807902103.0,28045.0,4,0,1,0,3
63,33237,1231,40.4271194,-3.6875473,2807904006.0,28001.0,1,2,1,0,3
74,11250,1500,40.4908323,-3.6941295,2807908111.0,28034.0,1,4,1,1,3
84,25000,1200,40.4384483,-3.6944797,2807907092.0,28010.0,0,11,0,0,3
87,25925,1037,40.4330266,-3.6986396,2807907057.0,28010.0,1,2,1,0,3
94,17005,895,40.4356063,-3.6971805,2807907068.0,28010.0,1,5,1,0,3
101,20192,1262,40.4495734,-3.6286687,2807920099.0,28027.0,6,0,1,0,3
134,29350,2104,40.5135126,-3.6755458,2807908174.0,28050.0,4,0,1,0,3
137,48755,3495,40.5134126,-3.6753458,2807908174.0,28050.0,4,0,1,0,3
139,14982,1074,40.5138126,-3.6733458,2807908174.0,28050.0,5,0,1,0,3
150,19404,1391,40.5119126,-3.6749458,2807908174.0,28050.0,4,0,1,0,3
152,11300,810,40.5138126,-3.6748458,2807908174.0,28050.0,4,0,1,0,3
160,28768,928,40.4354958,-3.6900954,2807904118.0,28006.0,3,0,1,0,3
166,13800,920,40.4456385,-3.6559561,2807915148.0,28043.0,3,0,1,0,3
168,30450,1050,40.431532,-3.6691832,2807904105.0,28006.0,6,0,1,0,3
170,21516,1871,40.4345636,-3.6221457,2807920119.0,28037.0,3,0,0,0,3
175,27600,1840,40.4467385,-3.6570561,2807915148.0,28043.0,3,0,1,0,3
223,29187,2162,40.4351035,-3.6326403,2807920100.0,28037.0,3,0,1,0,3
225,26544,1107,40.4537241,-3.6950395,2807906046.0,28020.0,10,2,1,0,3
237,17622,1068,40.4668793,-3.670946,2807905085.0,28016.0,6,2,1,0,3
238,20689,1061,40.4879509,-3.6713834,2807916106.0,28050.0,17,2,1,0,3
246,27565,1490,40.4745382,-3.676958,2807905101.0,28036.0,13,2,1,0,3
272,51740,1990,40.4687282,-3.6891115,2807905087.0,28036.0,9,0,1,0,3
274,27666,954,40.4613631,-3.6900026,2807906065.0,28046.0,9,0,1,0,3
282,23520,980,40.4064786,-3.6878277,2807903071.0,28014.0,0,0,1,0,3
284,18806,1504,40.5096915,-3.6774335,2807908174.0,28050.0,2,2,1,0,3
285,18338,815,40.4410646,-3.6778475,2807905014.0,28002.0,3,0,1,0,3
287,19480,1146,40.4629696,-3.620364,2807921029.0,28042.0,5,2,1,0,3
309,44496,2472,40.4780138,-3.6705066,2807915161.0,28033.0,9,0,1,0,3
310,22230,1235,40.4780138,-3.6706066,2807915161.0,28033.0,10,0,1,0,3
311,24584,1756,40.4497446,-3.6457313,2807920108.0,28027.0,2,0,1,0,3
312,12292,878,40.4507446,-3.6434313,2807920108.0,28027.0,2,0,1,0,3
313,16794,933,40.4753138,-3.6708066,2807915161.0,28033.0,6,0,1,0,3
314,11109,1058,40.4736885,-3.8263738,2807909072.0,28023.0,1,3,1,0,3
323,42413,1570,40.4398851,-3.6804267,2807905014.0,28002.0,1,0,0,0,3
324,61920,1376,40.431115,-3.6881013,2807907081.0,28010.0,2,0,0,0,3
325,28247,1176,40.4678282,-3.6871115,2807905087.0,28036.0,0,0,0,0,3
326,28548,1141,40.4654282,-3.6879115,2807905087.0,28036.0,4,0,0,0,3
336,15681,950,40.4955917,-3.6650824,2807916125.0,28050.0,5,2,1,0,3
339,20000,1000,40.45224,-3.694767,2807906046.0,28020.0,14,0,1,0,3
400,61920,1376,40.4343347,-3.6876051,2807907082.0,28046.0,2,2,1,0,3
416,17622,1068,40.4646693,-3.6134367,2807921029.0,28042.0,0,0,0,0,3
417,79518,5484,40.4497621,-3.6475243,2807915143.0,28027.0,3,0,0,0,3
418,23225,929,40.4353116,-3.6780531,2807904123.0,28006.0,3,0,0,0,3
420,38594,3027,40.4419077,-3.6273969,2807920119.0,28037.0,3,0,1,0,3
421,77770,3535,40.4058069,-3.695489,2807902079.0,28045.0,6,0,1,0,3
422,10891,947,40.4376286,-3.6206325,2807920125.0,28037.0,0,0,0,0,3
433,49923,3698,40.4331035,-3.6312403,2807920100.0,28037.0,3,0,1,0,3
434,12441,858,40.4771344,-3.6348247,2807916096.0,28033.0,6,0,1,0,3
435,24882,1716,40.4755344,-3.6335247,2807916096.0,28033.0,4,0,0,0,3
437,35330,2617,40.4321035,-3.6343403,2807920100.0,28037.0,2,0,1,0,3
439,20736,1536,40.4315035,-3.6343403,2807920100.0,28037.0,1,0,1,0,3
441,14594,1081,40.4337035,-3.6348403,2807920100.0,28037.0,3,0,1,0,3
453,28050,1650,40.4605696,-3.622264,2807921029.0,28042.0,4,0,0,0,3
462,27500,1100,40.4554023,-3.6953606,2807906046.0,28020.0,10,0,1,0,3
466,27345,1823,40.4752344,-3.6348247,2807916096.0,28033.0,6,2,1,0,3
473,13072,1245,40.4893476,-3.6900051,2807908111.0,28034.0,1,0,1,0,3
494,23225,929,40.4351116,-3.6797531,2807904123.0,28006.0,3,0,1,0,3
501,30144,942,40.4409362,-3.6884183,2807905002.0,28006.0,2,0,1,0,3
508,7346,816,40.4869466,-3.6694151,2807916106.0,28050.0,3,2,1,0,3
523,14599,1081,40.4331035,-3.6331403,2807920100.0,28037.0,1,2,1,0,3
527,9745,1114,40.5146971,-3.6732906,2807908174.0,28050.0,2,2,1,0,3
542,25120,1256,40.4233799,-3.6873933,2807904004.0,28001.0,2,2,1,0,3
553,16772,1198,40.4437911,-3.6561781,2807915147.0,28027.0,2,0,1,0,3
554,16772,1198,40.4445911,-3.6559781,2807915147.0,28027.0,4,0,1,0,3
558,16767,1197,40.4448911,-3.6579781,2807915147.0,28027.0,4,0,1,0,3
574,35172,1954,40.495568,-3.6992639,2807908121.0,28034.0,7,0,1,0,3
575,32004,1778,40.495268,-3.6988639,2807908121.0,28034.0,8,0,1,0,3
579,36738,2041,40.497168,-3.6999639,2807908121.0,28034.0,1,0,1,0,3
580,22000,3000,40.4431502,-3.6474774,2807915129.0,28027.0,0,5,0,1,3
583,17000,882,40.4347063,-3.6990805,2807907068.0,28010.0,0,4,1,0,3
597,20968,1233,40.4689029,-3.6396198,2807916048.0,28043.0,2,0,0,0,3
607,32722,1924,40.4707029,-3.6402198,2807916048.0,28043.0,2,0,0,0,3
624,32708,1924,40.4697029,-3.6423198,2807916048.0,28043.0,2,0,1,0,3
625,32400,1080,40.4166004,-3.6911531,2807903070.0,28014.0,2,2,1,0,3
639,14000,1400,40.4739768,-3.8240976,2807909072.0,28023.0,2,0,1,1,3
659,27710,1000,40.4538614,-3.6922965,2807906046.0,28020.0,12,2,1,0,3
664,19137,1062,40.4322094,-3.7028213,2807907059.0,28010.0,3,0,1,0,3
676,17622,1068,40.4651856,-3.6718802,2807905085.0,28016.0,6,0,1,0,3
685,11475,900,40.4395626,-3.6339747,2807920001.0,28027.0,1,0,1,1,3
703,18000,1000,40.45054,-3.69668,2807906039.0,28020.0,1,2,1,0,3
707,26506,1828,40.4483621,-3.6463243,2807915143.0,28027.0,3,0,0,0,3
711,53012,3656,40.4469621,-3.6501243,2807915143.0,28027.0,2,0,0,0,3
714,30144,942,40.4398336,-3.6912559,2807905002.0,28006.0,2,0,1,0,3
716,13073,1005,40.4878238,-3.6656126,2807916106.0,28050.0,0,0,0,0,3
717,20830,1602,40.4878238,-3.6656126,2807916106.0,28050.0,0,0,0,0,3
718,22806,1754,40.4878238,-3.6656126,2807916106.0,28050.0,0,0,0,0,3
719,11403,877,40.4878238,-3.6656126,2807916106.0,28050.0,0,0,0,0,3
720,11007,846,40.4878238,-3.6656126,2807916106.0,28050.0,0,0,0,0,3
721,36696,1529,40.4672282,-3.6867115,2807905087.0,28036.0,2,0,1,0,3
731,15011,883,40.4426667,-3.6562997,2807915147.0,28027.0,2,0,0,0,3
732,18564,1092,40.4425667,-3.6557997,2807915147.0,28027.0,2,0,0,0,3
742,22198,1009,40.4028101,-3.695178,2807902079.0,28045.0,6,0,1,0,3
743,36762,1671,40.4053101,-3.696378,2807902079.0,28045.0,3,0,0,0,3
744,18854,857,40.4035101,-3.695078,2807902079.0,28045.0,0,0,0,0,3
747,71214,3237,40.4051101,-3.695578,2807902079.0,28045.0,6,0,1,0,3
773,174700,6988,40.4013574,-3.6903751,2807902066.0,28045.0,0,0,1,0,3
777,25900,1036,40.4324266,-3.6982396,2807907057.0,28010.0,1,0,1,0,3
778,77770,3535,40.4051101,-3.692478,2807902079.0,28045.0,6,0,1,0,3
779,55594,2527,40.4062101,-3.696178,2807902079.0,28045.0,4,0,1,0,3
780,43340,1970,40.4056101,-3.694178,2807902079.0,28045.0,3,0,1,0,3
781,31086,1413,40.4060101,-3.695778,2807902079.0,28045.0,2,0,1,0,3
782,18832,856,40.4030101,-3.695578,2807902079.0,28045.0,1,0,1,0,3
785,23000,1000,40.4527614,-3.6941965,2807906046.0,28020.0,10,0,1,0,3
786,13923,816,40.4603687,-3.6162793,2807921029.0,28042.0,4,0,0,0,3
787,25347,1491,40.4602687,-3.6175793,2807921029.0,28042.0,4,0,0,0,3
788,24276,1428,40.4604687,-3.6142793,2807921029.0,28042.0,5,0,0,0,3
791,17760,888,40.4722629,-3.6849261,2807905094.0,28036.0,8,0,1,0,3
795,23188,1054,40.3931388,-3.6788833,2807902103.0,28045.0,3,0,1,0,3
796,46376,2108,40.3903388,-3.6799833,2807902103.0,28045.0,4,0,1,0,3
810,26654,1066,40.4311266,-3.6999396,2807907057.0,28010.0,0,0,0,0,3
811,23475,1235,40.4763617,-3.6719747,2807915161.0,28033.0,0,0,0,0,3
812,23318,1227,40.4763617,-3.6719747,2807915161.0,28033.0,0,0,0,0,3
842,10000,800,40.4870275,-3.6852999,2807908111.0,28034.0,1,1,1,0,3
851,21100,844,40.4558246,-3.6954006,2807906046.0,28020.0,4,0,1,0,3
853,36870,1229,40.4747085,-3.689118,2807908098.0,28029.0,34,0,1,0,3
855,53520,1338,40.4485387,-3.692547,2807906029.0,28046.0,28,0,1,0,3
857,17727,933,40.475361,-3.6728499,2807915161.0,28033.0,7,0,1,1,3
858,27675,1107,40.4536246,-3.6925006,2807906046.0,28020.0,10,0,1,0,3
861,99711,3693,40.4743028,-3.6858994,2807905091.0,28046.0,2,0,1,0,3
863,38640,1380,40.4767085,-3.686118,2807908098.0,28029.0,16,0,1,0,3
864,23484,1236,40.476961,-3.6699499,2807915161.0,28033.0,11,0,1,1,3
866,45000,1800,40.4526246,-3.6927006,2807906046.0,28020.0,7,0,1,0,3
867,46830,1338,40.4497387,-3.693347,2807906029.0,28046.0,23,0,1,0,3
870,9000,1000,40.4354759,-3.6258445,2807920119.0,28037.0,1,2,1,0,3
895,49896,2268,40.4723312,-3.677034,2807905103.0,28036.0,5,0,1,0,3
896,59004,2682,40.4746312,-3.674734,2807905103.0,28036.0,6,0,1,0,3
898,79200,3600,40.4720312,-3.677834,2807905103.0,28036.0,8,0,1,0,3
902,89298,4059,40.4727312,-3.675734,2807905103.0,28036.0,9,0,1,0,3
903,99396,4518,40.4748312,-3.676134,2807905103.0,28036.0,10,0,1,0,3
904,109494,4977,40.4743312,-3.676834,2807905103.0,28036.0,11,0,1,0,3
906,69102,3141,40.4754312,-3.676134,2807905103.0,28036.0,7,0,1,0,3
912,22000,1069,40.4624153,-3.658878,2807916007.0,28043.0,0,2,0,1,3
914,13872,816,40.4621687,-3.6147793,2807921029.0,28042.0,4,0,0,0,3
915,21648,1353,40.4795208,-3.7180673,2807908024.0,28035.0,6,0,1,0,3
916,38148,2244,40.4631687,-3.6169793,2807921029.0,28042.0,5,0,0,0,3
918,16240,1015,40.4791208,-3.7212673,2807908024.0,28035.0,6,0,1,0,3
926,22990,1210,40.4579397,-3.6654025,2807905053.0,28016.0,5,0,1,0,3
928,68760,1910,40.4238246,-3.6893884,2807901084.0,28001.0,4,0,1,0,3
941,10502,1050,40.4688827,-3.8044574,2807909072.0,28023.0,0,0,0,0,3
952,26440,1322,40.3946152,-3.6757891,2807902083.0,28045.0,2,0,1,0,3
954,16900,845,40.3945152,-3.6767891,2807902083.0,28045.0,11,0,1,0,3
977,27345,1823,40.4757344,-3.6345247,2807916096.0,28033.0,0,0,0,0,3
