,ad_price,ad_area,ad_latitude,ad_longitude,censustract_id,ad_postalcode,ad_floornumber,ad_bathnumber,ad_haslift,ad_hasparkingspace,tamaños
3063,750,65,41.3954768,2.1518867,801902085.0,8036.0,4,1,1,0,1
3064,3888,216,41.3877805,2.1521228,801902118.0,8036.0,1,2,1,0,2
3067,8720,436,41.384253,2.1696329,801902077.0,8002.0,3,2,1,0,2
3068,8492,386,41.386453,2.1705329,801902077.0,8002.0,2,2,1,0,2
3069,5194,371,41.3993923,2.1892999,801910043.0,8018.0,3,2,1,0,2
3070,5852,418,41.3964923,2.1886999,801910043.0,8018.0,2,2,1,0,2
3071,20300,1450,41.3991923,2.1911999,801910043.0,8018.0,3,2,1,0,3
3072,20938,1112,41.4091011,2.2073472,801910076.0,8019.0,2,0,1,0,3
3073,21460,1160,41.3985989,2.1889424,801910043.0,8018.0,7,0,1,0,3
3077,350,95,41.3787287,2.1176207,801904045.0,8028.0,11,2,1,0,1
3078,7085,567,41.349373,2.1343856,801903025.0,8038.0,3,2,1,0,2
3079,5200,614,41.3858527,2.146762,801902114.0,8029.0,0,6,0,0,2
3080,9439,472,41.3955412,2.1560417,801906044.0,8006.0,3,2,1,0,2
3081,5600,400,41.3961643,2.1500507,801905067.0,8006.0,0,4,1,0,2
3084,2562,180,41.4021939,2.1455233,801905075.0,8006.0,0,0,0,0,1
3085,5894,421,41.3974923,2.1912999,801910043.0,8018.0,3,3,1,0,2
3086,4480,224,41.3832808,2.1759552,801901025.0,8003.0,6,2,1,0,2
3087,38839,2044,41.4087422,2.2033732,801910101.0,8020.0,4,2,1,0,3
3088,19170,1009,41.4101422,2.2019732,801910101.0,8020.0,3,2,1,0,3
3090,95910,5048,41.4090422,2.2042732,801910101.0,8020.0,6,2,1,0,3
3092,2249,133,41.3976339,2.1539031,801905068.0,8006.0,1,1,1,0,1
3093,1500,99,41.3943152,2.1587908,801902081.0,8008.0,2,1,1,0,1
3094,3600,280,41.3885416,2.167935,801902077.0,8007.0,8,3,1,0,2
3095,6500,360,41.3935893,2.1562812,801902083.0,8008.0,4,2,1,0,2
3096,4641,273,41.3919176,2.1679542,801902078.0,8009.0,2,3,1,0,2
3097,80346,3826,41.3922318,2.1224297,801905014.0,8034.0,6,0,1,0,3
